N,p_T,mse_K_inner,mse_g_sv
5,0.1,0.013351201684097994,0.0038568785639189964
15,0.05,0.0014023828445836573,3.704001811806077e-05
25,0.01,0.0006468318252864265,4.8039531165364885e-06
35,0.01,0.00040263290935100036,1.2422238647020718e-06
45,0.01,0.00029832682810025684,4.740918829799109e-07
55,0.01,0.00024261016331151376,2.451521301178539e-07
65,0.005,0.00020872160239321925,1.289421694487002e-07
75,0.005,0.0002055754635462615,9.614377446750083e-08
85,0.005,0.00020049466672503692,8.89937945186203e-08
95,0.005,0.0001788779509987655,8.626972459461887e-08
105,0.001,0.00016867004052286316,3.411325639546313e-08
115,0.001,0.0001654061123925757,2.73977249046224e-08
125,0.001,0.00016052284575190055,2.4285260645727933e-08
